convo.id,speaker,turn.text
1,YOU, i would like 4 hats and you can have the rest . 
1, THEM, deal 
2,THEM, i would like 4 hats and you can have the rest . 
2, YOU, deal 
3,YOU, you can have all the hats if i get the book and basketballs . 
4,YOU, hi i would like the book and ball and you can have the hats 
4, THEM, i can give you either the book or the ball 
4, YOU, ill take the book 
4, THEM, ok i will take the hats and ball 
4, YOU, deal 
5,THEM, hi i would like the book and ball and you can have the hats 
5, YOU, i can give you either the book or the ball 
5, THEM, ill take the book 
5, YOU, ok i will take the hats and ball 
5, THEM, deal 
6,YOU, i would like the hat and 3 books 
6, THEM, can i have the hat and the balls ? 
6, YOU, i need to have the hat 
6, THEM," take the books and give me the hat , its a win win , right ? "
6, YOU, no it's not 
7,THEM," im a reader , so id like the books . . . . you may have the hats and ball "
7, YOU, let me have two books and the hats 
7, THEM, its a trilogy so i really need to hold on to all the books 
7, YOU, cant do it 
7, THEM," ok , well best i can do is 2 books and the ball then . . . anything less and i cant make a deal "
7, YOU, so the hats and a book for me ? 
7, THEM, yes 
8,YOU," im a reader , so id like the books . . . . you may have the hats and ball "
8, THEM, let me have two books and the hats 
8, YOU, its a trilogy so i really need to hold on to all the books 
8, THEM, cant do it 
8, YOU," ok , well best i can do is 2 books and the ball then . . . anything less and i cant make a deal "
8, THEM, so the hats and a book for me ? 
8, YOU, yes 
9,YOU, lemme get that book and ball ! 
9, THEM, i need 2 balls and a hat 
9, YOU, i'll take the book and two hats then ? 
9, THEM, ok 
10,THEM, lemme get that book and ball ! 
10, YOU, i need 2 balls and a hat 
10, THEM, i'll take the book and two hats then ? 
10, YOU, ok 
11,YOU, hello . i would like the book and one ball . 
11, THEM, you can have one ball 1 hat 
11, YOU, i need the book or it's no deal . 
11, THEM, no deal i am keeping the book 
11, YOU, ok no deal 
11, THEM, okay sounds good 
11, YOU, alright 
11, THEM, okay 
11, YOU, alright no deal 
11, THEM, okay its no deal 
12,THEM, hello . i would like the book and one ball . 
12, YOU, you can have one ball 1 hat 
12, THEM, i need the book or it's no deal . 
12, YOU, no deal i am keeping the book 
12, THEM, ok no deal 
12, YOU, okay sounds good 
12, THEM, alright 
12, YOU, okay 
12, THEM, alright no deal 
12, YOU, okay its no deal 
13,YOU, i love basketball and reading 
13, THEM, no . i want the hat and the balls 
13, YOU, both balls ? 
13, THEM, yeah or 1 ball and 1 book 
13, YOU, ok i want the hat and you can have the rest 
13, THEM, okay deal ill take the books and the balls you can have only the hat 
13, YOU, ok 
14,THEM, i love basketball and reading 
14, YOU, no . i want the hat and the balls 
14, THEM, both balls ? 
14, YOU, yeah or 1 ball and 1 book 
14, THEM, ok i want the hat and you can have the rest 
14, YOU, okay deal ill take the books and the balls you can have only the hat 
14, THEM, ok 
15,THEM, well now . i see two of everything . how about we split it down the middle ? 
15, YOU, i really just need the 2 books and 1 hat 
15, THEM," hmm . i could give you the two books , but i'd need both hats and both books in exchange . "
15, YOU, you mean both balls ? 
15, THEM," gah , yeah . sorry . "
15, YOU, ok i will take both books and you can have the rest 
15, THEM, deal 
16,YOU, well now . i see two of everything . how about we split it down the middle ? 
16, THEM, i really just need the 2 books and 1 hat 
16, YOU," hmm . i could give you the two books , but i'd need both hats and both books in exchange . "
16, THEM, you mean both balls ? 
16, YOU," gah , yeah . sorry . "
16, THEM, ok i will take both books and you can have the rest 
16, YOU, deal 
17,THEM, i would like the ball and two books 
17, YOU, gimme books and hat 
17, THEM, can i have one book 
17, YOU, yes 
18,YOU, i would like the ball and two books 
18, THEM, gimme books and hat 
18, YOU, can i have one book 
18, THEM, yes 
19,THEM," hi , i'd like 1 hat and 2 books "
19, YOU, 2 ball 1 book 
20,YOU," i'll take the hat , you can have the rest . "
20, THEM," i would like the balls , hat and 2 books "
20, YOU, i can give you the hat and the balls if i keep the books . 
20, THEM, sorry that wont work . 
20, YOU, can you either give me the hat or 3 of the books ? 
20, THEM, sorry looks like we wont be making a deal 
20, YOU, yeah i have no idea how to do that . 
20, THEM, we keep saying no deal until the no deal button appears 
20, YOU," oh , how about i get 2 books ? "
20, THEM, you get 2 books and i get the rest ? 
20, YOU, yes . 
20, THEM, deal 
21,THEM," i'll take the hat , you can have the rest . "
21, YOU," i would like the balls , hat and 2 books "
21, THEM, i can give you the hat and the balls if i keep the books . 
21, YOU, sorry that wont work . 
21, THEM, can you either give me the hat or 3 of the books ? 
21, YOU, sorry looks like we wont be making a deal 
21, THEM, yeah i have no idea how to do that . 
21, YOU, we keep saying no deal until the no deal button appears 
21, THEM," oh , how about i get 2 books ? "
21, YOU, you get 2 books and i get the rest ? 
21, THEM, yes . 
21, YOU, deal 
22,THEM, if i can have the hats and the books you can have the ball 
22, YOU, so you want me to only have the ball ? no deal make me a better offer 
22, THEM, i will take the hats and two books and you can have the rest 
22, YOU, no deal ill take the books and the ball you can have the rest 
22, THEM, i can take the hats and one book and you can have the res 
22, YOU, no ill take the books the hats and the balls then 
22, THEM, clearly that isn't an option 
22, YOU, it is an option . 
22, THEM, well it isn't going to happen . you can either try to make a deal or not . i am suggesting that i take the hats and a book or the ball . you are not being reasonable by wanting everything 
22, YOU," you did not suggest hat and ball . you suggested i take the ball , that makes you unreasonable so dont be a hypocrite . you can have only the hats at this point "
23,YOU, if i can have the hats and the books you can have the ball 
23, THEM, so you want me to only have the ball ? no deal make me a better offer 
23, YOU, i will take the hats and two books and you can have the rest 
23, THEM, no deal ill take the books and the ball you can have the rest 
23, YOU, i can take the hats and one book and you can have the res 
23, THEM, no ill take the books the hats and the balls then 
23, YOU, clearly that isn't an option 
23, THEM, it is an option . 
23, YOU, well it isn't going to happen . you can either try to make a deal or not . i am suggesting that i take the hats and a book or the ball . you are not being reasonable by wanting everything 
23, THEM," you did not suggest hat and ball . you suggested i take the ball , that makes you unreasonable so dont be a hypocrite . you can have only the hats at this point "
24,YOU," hi there . i'd like a hat and a book , thank you much . "
24, THEM, deal 
24, YOU, gracias ! 
