item1,item2,item3,value1,value2,value3,part_item1,part_item2,part_item3,part_value1,part_value2,part_value3,reward,agreement,text,convo.id
1,0,4,2,1,2,1,4,4,1,1,2,8,agree,YOU: i would like 4 hats and you can have the rest . <eos> THEM: deal <eos> YOU: <selection>,1
1,4,4,1,1,2,1,0,4,2,1,2,6,agree,THEM: i would like 4 hats and you can have the rest . <eos> YOU: deal <eos> THEM: <selection>,2
1,6,3,0,2,2,1,2,3,2,2,1,10,disagree,YOU: you can have all the hats if i get the book and basketballs . <eos> THEM: <selection>,3
1,10,3,0,1,0,1,2,3,2,1,2,10,agree,YOU: hi i would like the book and ball and you can have the hats <eos> THEM: i can give you either the book or the ball <eos> YOU: ill take the book <eos> THEM: ok i will take the hats and ball <eos> YOU: deal <eos> THEM: <selection>,4
1,2,3,2,1,2,1,10,3,0,1,0,8,agree,THEM: hi i would like the book and ball and you can have the hats <eos> YOU: i can give you either the book or the ball <eos> THEM: ill take the book <eos> YOU: ok i will take the hats and ball <eos> THEM: deal <eos> YOU: <selection>,5
4,1,1,6,2,0,4,0,1,6,2,2,10,disagree,"YOU: i would like the hat and 3 books <eos> THEM: can i have the hat and the balls ? <eos> YOU: i need to have the hat <eos> THEM: take the books and give me the hat , its a win win , right ? <eos> YOU: no it's not <eos> THEM: <selection>",6
3,2,3,1,1,1,3,3,3,0,1,1,5,agree,"THEM: im a reader , so id like the books . . . . you may have the hats and ball <eos> YOU: let me have two books and the hats <eos> THEM: its a trilogy so i really need to hold on to all the books <eos> YOU: cant do it <eos> THEM: ok , well best i can do is 2 books and the ball then . . . anything less and i cant make a deal <eos> YOU: so the hats and a book for me ? <eos> THEM: yes <eos> YOU: <selection>",7
3,3,3,0,1,1,3,2,3,1,1,1,7,agree,"YOU: im a reader , so id like the books . . . . you may have the hats and ball <eos> THEM: let me have two books and the hats <eos> YOU: its a trilogy so i really need to hold on to all the books <eos> THEM: cant do it <eos> YOU: ok , well best i can do is 2 books and the ball then . . . anything less and i cant make a deal <eos> THEM: so the hats and a book for me ? <eos> YOU: yes <eos> THEM: <selection>",8
1,10,3,0,2,0,1,1,3,1,2,3,10,agree,YOU: lemme get that book and ball ! <eos> THEM: i need 2 balls and a hat <eos> YOU: i'll take the book and two hats then ? <eos> THEM: ok <eos> YOU: <selection>,9
1,1,3,1,2,3,1,10,3,0,2,0,7,agree,THEM: lemme get that book and ball ! <eos> YOU: i need 2 balls and a hat <eos> THEM: i'll take the book and two hats then ? <eos> YOU: ok <eos> THEM: <selection>,10
1,8,2,1,4,0,1,6,2,0,4,1,NA,agree,YOU: hello . i would like the book and one ball . <eos> THEM: you can have one ball 1 hat <eos> YOU: i need the book or it's no deal . <eos> THEM: no deal i am keeping the book <eos> YOU: ok no deal <eos> THEM: okay sounds good <eos> YOU: alright <eos> THEM: okay <eos> YOU: alright no deal <eos> THEM: okay its no deal <eos> YOU: <selection>,11
1,6,2,0,4,1,1,8,2,1,4,0,NA,agree,THEM: hello . i would like the book and one ball . <eos> YOU: you can have one ball 1 hat <eos> THEM: i need the book or it's no deal . <eos> YOU: no deal i am keeping the book <eos> THEM: ok no deal <eos> YOU: okay sounds good <eos> THEM: alright <eos> YOU: okay <eos> THEM: alright no deal <eos> YOU: okay its no deal <eos> THEM: <selection>,12
3,0,1,8,2,1,3,1,1,3,2,2,8,agree,YOU: i love basketball and reading <eos> THEM: no . i want the hat and the balls <eos> YOU: both balls ? <eos> THEM: yeah or 1 ball and 1 book <eos> YOU: ok i want the hat and you can have the rest <eos> THEM: okay deal ill take the books and the balls you can have only the hat <eos> YOU: ok <eos> THEM: <selection>,13
3,1,1,3,2,2,3,0,1,8,2,1,7,agree,THEM: i love basketball and reading <eos> YOU: no . i want the hat and the balls <eos> THEM: both balls ? <eos> YOU: yeah or 1 ball and 1 book <eos> THEM: ok i want the hat and you can have the rest <eos> YOU: okay deal ill take the books and the balls you can have only the hat <eos> THEM: ok <eos> YOU: <selection>,14
2,5,2,0,2,0,2,2,2,2,2,1,10,agree,"THEM: well now . i see two of everything . how about we split it down the middle ? <eos> YOU: i really just need the 2 books and 1 hat <eos> THEM: hmm . i could give you the two books , but i'd need both hats and both books in exchange . <eos> YOU: you mean both balls ? <eos> THEM: gah , yeah . sorry . <eos> YOU: ok i will take both books and you can have the rest <eos> THEM: deal <eos> YOU: <selection>",15
2,2,2,2,2,1,2,5,2,0,2,0,6,agree,"YOU: well now . i see two of everything . how about we split it down the middle ? <eos> THEM: i really just need the 2 books and 1 hat <eos> YOU: hmm . i could give you the two books , but i'd need both hats and both books in exchange . <eos> THEM: you mean both balls ? <eos> YOU: gah , yeah . sorry . <eos> THEM: ok i will take both books and you can have the rest <eos> YOU: deal <eos> THEM: <selection>",16
3,1,1,4,1,3,3,2,1,0,1,4,6,agree,THEM: i would like the ball and two books <eos> YOU: gimme books and hat <eos> THEM: can i have one book <eos> YOU: yes <eos> THEM: <selection>,17
3,2,1,0,1,4,3,1,1,4,1,3,6,agree,YOU: i would like the ball and two books <eos> THEM: gimme books and hat <eos> YOU: can i have one book <eos> THEM: yes <eos> YOU: <selection>,18
3,0,1,4,2,3,3,1,1,5,2,1,10,disagree,"THEM: hi , i'd like 1 hat and 2 books <eos> YOU: 2 ball 1 book <eos> THEM: <selection>",19
4,1,1,6,2,0,4,1,1,2,2,2,2,agree,"YOU: i'll take the hat , you can have the rest . <eos> THEM: i would like the balls , hat and 2 books <eos> YOU: i can give you the hat and the balls if i keep the books . <eos> THEM: sorry that wont work . <eos> YOU: can you either give me the hat or 3 of the books ? <eos> THEM: sorry looks like we wont be making a deal <eos> YOU: yeah i have no idea how to do that . <eos> THEM: we keep saying no deal until the no deal button appears <eos> YOU: oh , how about i get 2 books ? <eos> THEM: you get 2 books and i get the rest ? <eos> YOU: yes . <eos> THEM: deal <eos> YOU: <selection>",20
4,1,1,2,2,2,4,1,1,6,2,0,8,agree,"THEM: i'll take the hat , you can have the rest . <eos> YOU: i would like the balls , hat and 2 books <eos> THEM: i can give you the hat and the balls if i keep the books . <eos> YOU: sorry that wont work . <eos> THEM: can you either give me the hat or 3 of the books ? <eos> YOU: sorry looks like we wont be making a deal <eos> THEM: yeah i have no idea how to do that . <eos> YOU: we keep saying no deal until the no deal button appears <eos> THEM: oh , how about i get 2 books ? <eos> YOU: you get 2 books and i get the rest ? <eos> THEM: yes . <eos> YOU: deal <eos> THEM: <selection>",21
3,3,2,0,1,1,3,1,2,3,1,1,NA,agree,"THEM: if i can have the hats and the books you can have the ball <eos> YOU: so you want me to only have the ball ? no deal make me a better offer <eos> THEM: i will take the hats and two books and you can have the rest <eos> YOU: no deal ill take the books and the ball you can have the rest <eos> THEM: i can take the hats and one book and you can have the res <eos> YOU: no ill take the books the hats and the balls then <eos> THEM: clearly that isn't an option <eos> YOU: it is an option . <eos> THEM: well it isn't going to happen . you can either try to make a deal or not . i am suggesting that i take the hats and a book or the ball . you are not being reasonable by wanting everything <eos> YOU: you did not suggest hat and ball . you suggested i take the ball , that makes you unreasonable so dont be a hypocrite . you can have only the hats at this point <eos> THEM: <selection>",22
3,1,2,3,1,1,3,3,2,0,1,1,NA,agree,"YOU: if i can have the hats and the books you can have the ball <eos> THEM: so you want me to only have the ball ? no deal make me a better offer <eos> YOU: i will take the hats and two books and you can have the rest <eos> THEM: no deal ill take the books and the ball you can have the rest <eos> YOU: i can take the hats and one book and you can have the res <eos> THEM: no ill take the books the hats and the balls then <eos> YOU: clearly that isn't an option <eos> THEM: it is an option . <eos> YOU: well it isn't going to happen . you can either try to make a deal or not . i am suggesting that i take the hats and a book or the ball . you are not being reasonable by wanting everything <eos> THEM: you did not suggest hat and ball . you suggested i take the ball , that makes you unreasonable so dont be a hypocrite . you can have only the hats at this point <eos> YOU: <selection>",23
4,0,1,9,1,1,4,1,1,2,1,4,9,agree,"YOU: hi there . i'd like a hat and a book , thank you much . <eos> THEM: deal <eos> YOU: gracias ! <eos> THEM: <selection>",24
4,1,1,2,1,4,4,0,1,9,1,1,7,agree,"THEM: hi there . i'd like a hat and a book , thank you much . <eos> YOU: deal <eos> THEM: gracias ! <eos> YOU: <selection>",25
2,1,2,0,2,4,2,3,2,2,2,0,9,agree,YOU: i need both balls and 1 book <eos> THEM: deal . <eos> YOU: okay so i get both balls and 1 book <eos> THEM: <selection>,26
2,3,2,2,2,0,2,1,2,0,2,4,7,agree,THEM: i need both balls and 1 book <eos> YOU: deal . <eos> THEM: okay so i get both balls and 1 book <eos> YOU: <selection>,27
1,2,3,2,2,1,1,10,3,0,2,0,5,agree,"THEM: let's split them in half <eos> YOU: i'd like 2 hats , and 1 ball . <eos> THEM: <selection>",28
1,10,3,0,2,0,1,2,3,2,2,1,10,agree,"YOU: let's split them in half <eos> THEM: i'd like 2 hats , and 1 ball . <eos> YOU: <selection>",29
2,0,3,1,1,7,2,2,3,2,1,0,7,agree,"YOU: i need that ball so bad ! what do you want ? <eos> THEM: i mean i'll take the rest <eos> YOU: could i also have one hat maybe ? pretty please ? <eos> THEM: you drive a hard bargain here , ball and a book ? <eos> YOU: if that's the offer , then you just take the book because they have no value for me . <eos> THEM: <selection>",30
2,2,3,2,1,0,2,0,3,1,1,7,10,agree,"THEM: i need that ball so bad ! what do you want ? <eos> YOU: i mean i'll take the rest <eos> THEM: could i also have one hat maybe ? pretty please ? <eos> YOU: you drive a hard bargain here , ball and a book ? <eos> THEM: if that's the offer , then you just take the book because they have no value for me . <eos> YOU: <selection>",31
1,10,2,0,3,0,1,1,2,3,3,1,10,agree,"YOU: hello , how about i get the book and the hats and you can have the balls ? <eos> THEM: no i want the hats and a ball <eos> YOU: ok , so the book and 2 balls for me and you get the hats and a ball ? <eos> THEM: yes sounds perfect . deal <eos> YOU: <selection>",32
1,1,2,3,3,1,1,10,2,0,3,0,7,agree,"THEM: hello , how about i get the book and the hats and you can have the balls ? <eos> YOU: no i want the hats and a ball <eos> THEM: ok , so the book and 2 balls for me and you get the hats and a ball ? <eos> YOU: yes sounds perfect . deal <eos> THEM: <selection>",33
2,2,2,0,1,6,2,0,2,2,1,6,6,agree,YOU: i would like the ball and the books <eos> THEM: i will give you both books and a hat <eos> YOU: i can not do that . i do need the ball . <eos> THEM: if you give me both hats and both books i will give you the ball <eos> YOU: you can have both hats . can i have 1 book and the ball ? <eos> THEM: no i need both hats and both books <eos> YOU: okay . deal <eos> THEM: <selection>,34
2,0,2,2,1,6,2,2,2,0,1,6,4,agree,THEM: i would like the ball and the books <eos> YOU: i will give you both books and a hat <eos> THEM: i can not do that . i do need the ball . <eos> YOU: if you give me both hats and both books i will give you the ball <eos> THEM: you can have both hats . can i have 1 book and the ball ? <eos> YOU: no i need both hats and both books <eos> THEM: okay . deal <eos> YOU: <selection>,35
1,0,3,2,1,4,1,3,3,1,1,4,6,agree,"YOU: hi , i would like the ball and 2 hats and you can have the book and 1 hat <eos> THEM: i rather like the ball also . you can have all three hats if i get the ball and book . <eos> YOU: ok , i can do that . <eos> THEM: <selection>",36
1,3,3,1,1,4,1,0,3,2,1,4,7,agree,"THEM: hi , i would like the ball and 2 hats and you can have the book and 1 hat <eos> YOU: i rather like the ball also . you can have all three hats if i get the ball and book . <eos> THEM: ok , i can do that . <eos> YOU: <selection>",37
2,1,3,2,1,2,2,0,3,1,1,7,6,agree,"YOU: hello , i would like the hats , and you can have the rest . i can also take 2 hats and the ball , giving you 1 hat and the books . <eos> THEM: could i have the ball and 1 hat ? <eos> YOU: yeah i can do that , where i get 2 hats and the books as well <eos> THEM: yes . deal ? <eos> YOU: deal <eos> THEM: <selection>",38
2,0,3,1,1,7,2,1,3,2,1,2,8,agree,"THEM: hello , i would like the hats , and you can have the rest . i can also take 2 hats and the ball , giving you 1 hat and the books . <eos> YOU: could i have the ball and 1 hat ? <eos> THEM: yeah i can do that , where i get 2 hats and the books as well <eos> YOU: yes . deal ? <eos> THEM: deal <eos> YOU: <selection>",39
1,9,1,1,4,0,1,1,1,5,4,1,9,agree,"YOU: i'll take the book and hat , you can have the balls <eos> THEM: i really need that hat and two balls <eos> YOU: i'll take the book , you can have the rest <eos> THEM: deal <eos> YOU: <selection>",40
1,1,1,5,4,1,1,9,1,1,4,0,9,agree,"THEM: i'll take the book and hat , you can have the balls <eos> YOU: i really need that hat and two balls <eos> THEM: i'll take the book , you can have the rest <eos> YOU: deal <eos> THEM: <selection>",41
3,1,2,1,1,5,3,1,2,1,1,5,5,agree,YOU: i would like 1 of each <eos> THEM: i can't do that . i'll take the ball 2 books <eos> YOU: i'll take ball and 1 hat <eos> THEM: no sorry . how about i take the ball and you get the rest ? <eos> YOU: ok <eos> THEM: <selection>,42
3,1,2,1,1,5,3,1,2,1,1,5,5,agree,THEM: i would like 1 of each <eos> YOU: i can't do that . i'll take the ball 2 books <eos> THEM: i'll take ball and 1 hat <eos> YOU: no sorry . how about i take the ball and you get the rest ? <eos> THEM: ok <eos> YOU: <selection>,43
2,3,4,0,1,4,2,0,4,2,1,2,10,agree,"YOU: i would like the ball and the books <eos> THEM: you can have the books but i would like the ball . <eos> YOU: thats not going to work for me unfortunately . i need the ball and at least 1 book minimum <eos> THEM: hmm . okay , i think i can work with that . i take the hats , you get the ball and books ? <eos> YOU: yes please . thank you <eos> THEM: okay , it's a deal . <eos> YOU: <selection>",44
2,0,4,2,1,2,2,3,4,0,1,4,8,agree,"THEM: i would like the ball and the books <eos> YOU: you can have the books but i would like the ball . <eos> THEM: thats not going to work for me unfortunately . i need the ball and at least 1 book minimum <eos> YOU: hmm . okay , i think i can work with that . i take the hats , you get the ball and books ? <eos> THEM: yes please . thank you <eos> YOU: okay , it's a deal . <eos> THEM: <selection>",45
4,0,1,3,1,7,4,2,1,0,1,2,10,agree,"YOU: i'd like the basketball and the hat , you can keep all 4 books ? <eos> THEM: deal . <eos> YOU: <selection>",46
4,2,1,0,1,2,4,0,1,3,1,7,8,agree,"THEM: i'd like the basketball and the hat , you can keep all 4 books ? <eos> YOU: deal . <eos> THEM: <selection>",47
1,0,2,5,2,0,1,2,2,3,2,1,NA,agree,THEM: what would you like <eos> YOU: i need the hats you can have everything else <eos> THEM: you take all balls and i keep everything <eos> YOU: no deal . i need the hats or no deal . <eos> THEM: no deal <eos> YOU: no deal . <eos> THEM: no deal <eos> YOU: no deal . <eos> THEM: no <eos> YOU: no deal . <eos> THEM: <selection>,48
1,2,2,3,2,1,1,0,2,5,2,0,NA,agree,YOU: what would you like <eos> THEM: i need the hats you can have everything else <eos> YOU: you take all balls and i keep everything <eos> THEM: no deal . i need the hats or no deal . <eos> YOU: no deal <eos> THEM: no deal . <eos> YOU: no deal <eos> THEM: no deal . <eos> YOU: no <eos> THEM: no deal . <eos> YOU: <selection>,49
1,0,2,1,4,2,1,6,2,0,4,1,8,agree,YOU: balls and hats for me <eos> THEM: can i have one ball and the book ? <eos> YOU: yes deal <eos> THEM: <selection>,50
1,6,2,0,4,1,1,0,2,1,4,2,7,agree,THEM: balls and hats for me <eos> YOU: can i have one ball and the book ? <eos> THEM: yes deal <eos> YOU: <selection>,51
1,4,3,0,2,3,1,1,3,1,2,3,7,agree,"YOU: i'm interested in the book and both balls in exchange for the hats . <eos> THEM: definitely not both balls . we could split them ? <eos> YOU: i think that's fair . i agree . 1 book , 1 ball for me . . . rest for you . <eos> THEM: deal ! <eos> YOU: <selection>",52
1,1,3,1,2,3,1,4,3,0,2,3,6,agree,"THEM: i'm interested in the book and both balls in exchange for the hats . <eos> YOU: definitely not both balls . we could split them ? <eos> THEM: i think that's fair . i agree . 1 book , 1 ball for me . . . rest for you . <eos> YOU: deal ! <eos> THEM: <selection>",53
2,2,2,2,1,2,2,0,2,0,1,10,8,agree,"THEM: i want the ball <eos> YOU: ok , i get rest <eos> THEM: deal <eos> YOU: <selection>",54
2,0,2,0,1,10,2,2,2,2,1,2,10,agree,"YOU: i want the ball <eos> THEM: ok , i get rest <eos> YOU: deal <eos> THEM: <selection>",55
2,2,1,0,3,2,2,2,1,6,3,0,8,agree,THEM: i'll take books and hat if you want the balls <eos> YOU: i can give you the hat and one of the books . <eos> THEM: ok <eos> YOU: <selection>,56
2,2,1,6,3,0,2,2,1,0,3,2,8,agree,YOU: i'll take books and hat if you want the balls <eos> THEM: i can give you the hat and one of the books . <eos> YOU: ok <eos> THEM: <selection>,57
2,2,2,2,2,1,2,3,2,0,2,2,6,agree,"YOU: hello <eos> THEM: hi . may i have the books and 1 hat ? <eos> YOU: id rather give the balls than the hat <eos> THEM: if i can have both the books and 1 ball , you can have the rest . <eos> YOU: ill give you 2 balls and 1 book <eos> THEM: deal ! <eos> YOU: <selection>",58
2,3,2,0,2,2,2,2,2,2,2,1,7,agree,"THEM: hello <eos> YOU: hi . may i have the books and 1 hat ? <eos> THEM: id rather give the balls than the hat <eos> YOU: if i can have both the books and 1 ball , you can have the rest . <eos> THEM: ill give you 2 balls and 1 book <eos> YOU: deal ! <eos> THEM: <selection>",59
3,2,2,1,2,1,3,0,2,5,2,0,7,agree,THEM: i need 2 hats and 1 ball . <eos> YOU: ok deal <eos> THEM: <selection>,60
3,0,2,5,2,0,3,2,2,1,2,1,10,agree,YOU: i need 2 hats and 1 ball . <eos> THEM: ok deal <eos> YOU: <selection>,61
1,1,1,0,3,3,1,1,1,3,3,2,7,agree,"THEM: i would like the hat and two balls <eos> YOU: i can part with the hat , but not 2 balls . i'll need at least two of them to make a deal . <eos> THEM: okay , i'll take the hat , one ball and one book ? <eos> YOU: i'll take two balls and the book . <eos> THEM: <selection>",62
1,1,1,3,3,2,1,1,1,0,3,3,5,agree,"YOU: i would like the hat and two balls <eos> THEM: i can part with the hat , but not 2 balls . i'll need at least two of them to make a deal . <eos> YOU: okay , i'll take the hat , one ball and one book ? <eos> THEM: i'll take two balls and the book . <eos> YOU: <selection>",63
1,0,2,5,3,0,1,2,2,1,3,2,10,agree,THEM: if i can have the balls and the book you can have the hats <eos> YOU: sounds good <eos> THEM: great ! thank you ! <eos> YOU: thanks <eos> THEM: <selection>,64
1,2,2,1,3,2,1,0,2,5,3,0,8,agree,YOU: if i can have the balls and the book you can have the hats <eos> THEM: sounds good <eos> YOU: great ! thank you ! <eos> THEM: thanks <eos> YOU: <selection>,65
2,1,2,2,1,4,2,0,2,4,1,2,6,agree,YOU: i'll take one of each if that's ok ? <eos> THEM: i need 2 hats . you can have the rest <eos> YOU: ok <eos> THEM: <selection>,66
2,0,2,4,1,2,2,1,2,2,1,4,8,agree,THEM: i'll take one of each if that's ok ? <eos> YOU: i need 2 hats . you can have the rest <eos> THEM: ok <eos> YOU: <selection>,67
1,6,2,1,2,1,1,0,2,5,2,0,8,agree,THEM: i want two hats <eos> YOU: i get the books and a ball deal <eos> THEM: deal <eos> YOU: <selection>,68
1,0,2,5,2,0,1,6,2,1,2,1,10,agree,YOU: i want two hats <eos> THEM: i get the books and a ball deal <eos> YOU: deal <eos> THEM: <selection>,69
2,1,2,4,1,0,2,1,2,3,1,2,NA,agree,"THEM: i need the hats and the ball <eos> YOU: i can give you one hat and the ball . i want 2 books and 1 hat <eos> THEM: i have to have both hats and the ball or both hats and a book to make a deal <eos> YOU: sorry , i won`t make a deal without a hat <eos> THEM: if you take 1 hat i have to have everything else <eos> YOU: sorry can`t do <eos> THEM: no deal <eos> YOU: yesh no deal , sorry <eos> THEM: no deal <eos> YOU: no deal <eos> THEM: <selection>",70
2,1,2,3,1,2,2,1,2,4,1,0,NA,agree,"YOU: i need the hats and the ball <eos> THEM: i can give you one hat and the ball . i want 2 books and 1 hat <eos> YOU: i have to have both hats and the ball or both hats and a book to make a deal <eos> THEM: sorry , i won`t make a deal without a hat <eos> YOU: if you take 1 hat i have to have everything else <eos> THEM: sorry can`t do <eos> YOU: no deal <eos> THEM: yesh no deal , sorry <eos> YOU: no deal <eos> THEM: no deal <eos> YOU: <selection>",71
1,3,1,1,3,2,1,8,1,2,3,0,6,agree,THEM: you can have the balls if i can have the book and hat <eos> YOU: okay <eos> THEM: <selection>,72
1,8,1,2,3,0,1,3,1,1,3,2,10,agree,YOU: you can have the balls if i can have the book and hat <eos> THEM: okay <eos> YOU: <selection>,73
3,2,2,2,2,0,3,0,2,3,2,2,8,agree,THEM: i'd like the hats and balls . what do you want ? <eos> YOU: you can have the balls and one hat <eos> THEM: okay . <eos> YOU: okay thank you . <eos> THEM: <selection>,74
3,0,2,3,2,2,3,2,2,2,2,0,7,agree,YOU: i'd like the hats and balls . what do you want ? <eos> THEM: you can have the balls and one hat <eos> YOU: okay . <eos> THEM: okay thank you . <eos> YOU: <selection>,75
3,0,1,2,2,4,3,1,1,3,2,2,8,agree,THEM: i need the balls and the hat <eos> YOU: i need the same . if i can't have the balls i can't make a deal <eos> THEM: you can have the balls if i can have everything else <eos> YOU: okay deal . <eos> THEM: <selection>,76
3,1,1,3,2,2,3,0,1,2,2,4,6,agree,YOU: i need the balls and the hat <eos> THEM: i need the same . if i can't have the balls i can't make a deal <eos> YOU: you can have the balls if i can have everything else <eos> THEM: okay deal . <eos> YOU: <selection>,77
1,2,2,3,2,1,1,0,2,1,2,4,6,agree,"THEM: i'll take the book and two balls you . <eos> YOU: fine , i get both hats <eos> THEM: <selection>",78
1,0,2,1,2,4,1,2,2,3,2,1,8,agree,"YOU: i'll take the book and two balls you . <eos> THEM: fine , i get both hats <eos> YOU: <selection>",79
2,2,3,2,2,0,2,0,3,2,2,2,6,disagree,"YOU: take all the balls i keep everything else <eos> THEM: nah , hats and a ball for me <eos> YOU: can i keep a hat at least , its cold <eos> THEM: ok , two hats and 2 balls for me <eos> YOU: deal <eos> THEM: <selection>",80
2,0,3,2,2,2,2,2,3,2,2,0,8,disagree,"THEM: take all the balls i keep everything else <eos> YOU: nah , hats and a ball for me <eos> THEM: can i keep a hat at least , its cold <eos> YOU: ok , two hats and 2 balls for me <eos> THEM: deal <eos> YOU: <selection>",81
3,2,1,0,2,2,3,1,1,1,2,3,6,agree,THEM: i need the balls and a hat <eos> YOU: how many balls do you need <eos> THEM: both <eos> YOU: could you just take the hat and give me the rest ? <eos> THEM: not possible <eos> YOU: okay ill give you the hat and balls <eos> THEM: great <eos> YOU: <selection>,82
3,1,1,1,2,3,3,2,1,0,2,2,7,agree,YOU: i need the balls and a hat <eos> THEM: how many balls do you need <eos> YOU: both <eos> THEM: could you just take the hat and give me the rest ? <eos> YOU: not possible <eos> THEM: okay ill give you the hat and balls <eos> YOU: great <eos> THEM: <selection>,83
2,1,2,1,3,2,2,0,2,5,3,0,8,agree,"THEM: i'd like the hats and books <eos> YOU: ill give you all books with a hat , i get to keep a hats <eos> THEM: how about this , i get the hats you take everything else . deal ? <eos> YOU: deal <eos> THEM: <selection>",84
2,0,2,5,3,0,2,1,2,1,3,2,10,agree,"YOU: i'd like the hats and books <eos> THEM: ill give you all books with a hat , i get to keep a hats <eos> YOU: how about this , i get the hats you take everything else . deal ? <eos> THEM: deal <eos> YOU: <selection>",85
