id,group,turn,youthem,text
1,1,1,1,YOU: i would like 4 hats and you can have the rest . 
1,1,2,0, THEM: deal 
2,1,1,0,THEM: i would like 4 hats and you can have the rest . 
2,1,2,1, YOU: deal 
3,2,1,1,YOU: you can have all the hats if i get the book and basketballs . 
4,2,1,1,YOU: hi i would like the book and ball and you can have the hats 
4,2,2,0, THEM: i can give you either the book or the ball 
4,2,3,1, YOU: ill take the book 
4,2,4,0, THEM: ok i will take the hats and ball 
4,2,5,1, YOU: deal 
5,3,1,0,THEM: hi i would like the book and ball and you can have the hats 
5,3,2,1, YOU: i can give you either the book or the ball 
5,3,3,0, THEM: ill take the book 
5,3,4,1, YOU: ok i will take the hats and ball 
5,3,5,0, THEM: deal 
6,3,1,1,YOU: i would like the hat and 3 books 
6,3,2,0, THEM: can i have the hat and the balls ? 
6,3,3,1, YOU: i need to have the hat 
6,3,4,0," THEM: take the books and give me the hat , its a win win , right ? "
6,3,5,1, YOU: no it's not 
7,4,1,0,"THEM: im a reader , so id like the books . . . . you may have the hats and ball "
7,4,2,1, YOU: let me have two books and the hats 
7,4,3,0, THEM: its a trilogy so i really need to hold on to all the books 
7,4,4,1, YOU: cant do it 
7,4,5,0," THEM: ok , well best i can do is 2 books and the ball then . . . anything less and i cant make a deal "
7,4,6,1, YOU: so the hats and a book for me ? 
7,4,7,0, THEM: yes 
8,4,1,1,"YOU: im a reader , so id like the books . . . . you may have the hats and ball "
8,4,2,0, THEM: let me have two books and the hats 
8,4,3,1, YOU: its a trilogy so i really need to hold on to all the books 
8,4,4,0, THEM: cant do it 
8,4,5,1," YOU: ok , well best i can do is 2 books and the ball then . . . anything less and i cant make a deal "
8,4,6,0, THEM: so the hats and a book for me ? 
8,4,7,1, YOU: yes 
9,5,1,1,YOU: lemme get that book and ball ! 
9,5,2,0, THEM: i need 2 balls and a hat 
9,5,3,1, YOU: i'll take the book and two hats then ? 
9,5,4,0, THEM: ok 
10,5,1,0,THEM: lemme get that book and ball ! 
10,5,2,1, YOU: i need 2 balls and a hat 
10,5,3,0, THEM: i'll take the book and two hats then ? 
10,5,4,1, YOU: ok 
11,6,1,1,YOU: hello . i would like the book and one ball . 
11,6,2,0, THEM: you can have one ball 1 hat 
11,6,3,1, YOU: i need the book or it's no deal . 
11,6,4,0, THEM: no deal i am keeping the book 
11,6,5,1, YOU: ok no deal 
