id,group,reward,agreement,item1,item2,item3
1,1,8,agree,0,4,0
2,1,6,agree,1,0,1
3,2,10,disagree,1,3,2
4,2,10,agree,1,0,0
5,3,8,agree,0,3,1
6,3,10,disagree,4,1,0
7,4,5,agree,1,3,0
8,4,7,agree,2,0,1
9,5,10,agree,1,2,0
10,5,7,agree,0,1,2
11,6,no,agreement,agreement,NA,NA
12,6,no,agreement,agreement,NA,NA
13,7,8,agree,0,1,0
14,7,7,agree,3,0,2
15,8,10,agree,2,0,0
16,8,6,agree,0,2,2
17,9,6,agree,2,1,0
18,9,6,agree,1,0,1
19,10,10,disagree,1,1,2
20,10,2,agree,2,0,0
21,11,8,agree,2,1,2
22,11,no,agreement,agreement,NA,NA
23,12,no,agreement,agreement,NA,NA
24,12,9,agree,1,1,0
25,13,7,agree,3,0,1
26,13,9,agree,1,0,2
27,14,7,agree,1,2,0
28,14,5,agree,0,2,1
29,15,10,agree,1,1,1
30,15,7,agree,0,0,1
31,16,10,agree,2,3,0
32,16,10,agree,1,0,2
33,17,7,agree,0,2,1
34,17,6,agree,0,0,1
35,18,4,agree,2,2,0
36,18,6,agree,0,3,0
37,19,7,agree,1,0,1
38,19,6,agree,2,2,0
39,20,8,agree,0,1,1
40,20,9,agree,1,0,0
41,21,9,agree,0,1,4
42,21,5,agree,3,2,0
43,22,5,agree,0,0,1
44,22,10,agree,2,0,1
45,23,8,agree,0,4,0
46,23,10,agree,0,1,1
47,24,8,agree,4,0,0
48,24,no,agreement,agreement,NA,NA
49,25,no,agreement,agreement,NA,NA
50,25,8,agree,0,2,3
51,26,7,agree,1,0,1
52,26,7,agree,1,0,1
53,27,6,agree,0,3,1
54,27,8,agree,2,2,0
55,28,10,agree,0,0,1
56,28,8,agree,1,0,3
57,29,8,agree,1,1,0
58,29,6,agree,1,2,0
59,30,7,agree,1,0,2
60,30,7,agree,3,0,1
61,31,10,agree,0,2,1
62,31,7,agree,1,0,2
63,32,5,agree,0,1,1
64,32,10,agree,0,2,0
65,33,8,agree,1,0,3
66,33,6,agree,2,0,1
67,34,8,agree,0,2,0
68,34,8,agree,1,0,2
69,35,10,agree,0,2,0
70,35,no,agreement,agreement,NA,NA
71,36,no,agreement,agreement,NA,NA
72,36,6,agree,0,0,3
73,37,10,agree,1,1,0
74,37,8,agree,3,1,0
75,38,7,agree,0,1,2
76,38,8,agree,0,0,2
77,39,6,agree,3,1,0
78,39,6,agree,0,2,0
79,40,8,agree,1,0,2
80,40,6,disagree,2,1,2
81,41,8,disagree,0,2,2
82,41,6,agree,3,0,0
83,42,7,agree,0,1,2
84,42,8,agree,2,0,3
85,43,10,agree,0,2,0
86,43,8,agree,1,3,0
87,44,10,agree,0,0,2
88,44,6,agree,1,0,2
89,45,8,agree,0,1,1
90,45,5,agree,1,2,0
91,46,7,agree,0,2,1
92,46,9,agree,0,3,0
93,47,10,agree,1,0,1
94,47,8,agree,0,1,1
95,48,7,agree,1,0,2
96,48,7,agree,0,1,1
97,49,8,agree,2,1,0
98,49,7,agree,1,2,0
99,50,6,agree,0,0,3
100,50,7,agree,0,1,1
101,51,6,agree,1,3,0
102,51,6,agree,1,0,1
103,52,6,agree,0,1,2
104,52,8,agree,2,3,0
